"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2022","3,796.3","3,912.2","3,917.8","3,786.4","","-2.88%"
"01/06/2022","3,909.0","3,872.4","3,927.0","3,839.1","","0.75%"
"01/05/2022","3,879.9","3,988.6","4,020.5","3,876.8","","-3.22%"
"01/04/2022","4,009.0","4,045.4","4,068.1","3,918.4","","-0.45%"
"01/03/2022","4,027.2","3,974.3","4,027.9","3,961.3","","2.05%"
"12/31/2021","3,946.2","3,960.5","3,987.5","3,944.8","","-0.15%"
"12/30/2021","3,952.0","3,996.4","4,008.7","3,945.8","","-1.18%"
"12/29/2021","3,999.4","3,995.5","4,024.0","3,979.2","","0.18%"
"12/28/2021","3,992.2","4,052.8","4,055.0","3,977.7","","-1.17%"
"12/27/2021","4,039.5","3,946.0","4,040.6","3,946.0","","2.72%"
"12/23/2021","3,932.4","3,906.8","3,955.5","3,906.8","","1.04%"
"12/22/2021","3,891.9","3,836.5","3,892.8","3,817.2","","0.90%"
"12/21/2021","3,857.3","3,818.6","3,861.8","3,760.1","","3.35%"
"12/20/2021","3,732.4","3,707.4","3,755.4","3,689.4","","-0.76%"
"12/17/2021","3,761.0","3,733.7","3,814.8","3,721.2","","-0.14%"
"12/16/2021","3,766.3","3,961.6","3,962.0","3,748.1","","-4.27%"
"12/15/2021","3,934.5","3,805.4","3,939.9","3,757.3","","3.69%"
"12/14/2021","3,794.4","3,768.1","3,814.6","3,746.4","","-0.52%"
"12/13/2021","3,814.4","3,931.0","3,936.7","3,811.0","","-2.56%"
"12/10/2021","3,914.7","3,952.4","3,968.0","3,871.9","","0.91%"
"12/09/2021","3,879.5","3,936.3","3,981.9","3,877.1","","-2.14%"
"12/08/2021","3,964.4","3,954.3","3,973.4","3,928.2","","-0.61%"
"12/07/2021","3,988.7","3,892.3","4,002.2","3,892.3","","4.97%"
"12/06/2021","3,800.1","3,797.6","3,814.3","3,687.9","","-0.12%"
"12/03/2021","3,804.5","3,874.5","3,902.9","3,762.1","","-0.16%"
"12/02/2021","3,810.8","3,758.2","3,838.6","3,742.5","","0.00%"
"12/01/2021","3,810.7","3,896.1","3,958.7","3,806.3","","-0.59%"
"11/30/2021","3,833.2","3,893.0","3,924.8","3,804.6","","-1.98%"
"11/29/2021","3,910.5","3,827.4","3,914.7","3,806.4","","4.08%"
"11/26/2021","3,757.1","3,799.5","3,833.0","3,735.9","","-2.92%"
"11/24/2021","3,870.0","3,800.1","3,871.6","3,765.7","","0.93%"
"11/23/2021","3,834.4","3,836.7","3,869.9","3,773.4","","-0.33%"
"11/22/2021","3,847.1","3,928.0","3,982.1","3,843.9","","-1.66%"
"11/19/2021","3,912.0","3,895.6","3,937.0","3,879.9","","0.31%"
"11/18/2021","3,900.0","3,904.3","3,916.9","3,861.9","","1.79%"
"11/17/2021","3,831.4","3,851.3","3,856.5","3,813.6","","-0.72%"
"11/16/2021","3,859.4","3,781.9","3,866.7","3,774.1","","1.73%"
"11/15/2021","3,793.8","3,817.1","3,823.6","3,760.1","","-0.02%"
"11/12/2021","3,794.5","3,770.5","3,812.3","3,754.7","","0.80%"
"11/11/2021","3,764.5","3,740.4","3,772.1","3,723.2","","1.94%"
"11/10/2021","3,693.0","3,727.6","3,783.1","3,676.6","","-2.83%"
"11/09/2021","3,800.6","3,830.8","3,838.6","3,767.0","","-0.07%"
"11/08/2021","3,803.3","3,781.1","3,824.3","3,766.5","","1.25%"
"11/05/2021","3,756.6","3,738.9","3,789.6","3,725.3","","1.10%"
"11/04/2021","3,715.8","3,633.1","3,728.1","3,617.1","","3.50%"
"11/03/2021","3,590.2","3,552.7","3,592.8","3,540.0","","1.16%"
"11/02/2021","3,548.9","3,510.3","3,549.8","3,510.3","","1.21%"
"11/01/2021","3,506.3","3,459.6","3,507.6","3,451.7","","1.59%"
"10/29/2021","3,451.3","3,407.5","3,452.8","3,404.2","","0.36%"
"10/28/2021","3,438.8","3,406.3","3,440.6","3,403.0","","2.34%"
"10/27/2021","3,360.3","3,365.1","3,399.1","3,353.8","","-0.96%"
"10/26/2021","3,393.0","3,420.3","3,427.9","3,381.1","","0.02%"
